lexeme	CurrentNode	lineno	tokenName	valueIfNumber	parentNodeSymbol	isLeafNode	NodeSymbol
_computeFunctionValue	----	524	TK_FUNID	----	function	leaf	TK_FUNID
----	function	-	----	----	otherFunctions	non-leaf	function
input	----	524	TK_INPUT	----	input_par	leaf	TK_INPUT
----	input_par	-	----	----	function	non-leaf	input_par
parameter	----	524	TK_PARAMETER	----	input_par	leaf	TK_PARAMETER
list	----	524	TK_LIST	----	input_par	leaf	TK_LIST
[	----	524	TK_SQL	----	input_par	leaf	TK_SQL
int	----	524	TK_INT	----	primitiveDatatype	leaf	TK_INT
----	primitiveDatatype	-	----	----	dataType	non-leaf	primitiveDatatype
----	dataType	-	----	----	parameter_list	non-leaf	dataType
----	parameter_list	-	----	----	input_par	non-leaf	parameter_list
c3	----	524	TK_ID	----	parameter_list	leaf	TK_ID
,	----	524	TK_COMMA	----	remaining_list	leaf	TK_COMMA
----	remaining_list	-	----	----	parameter_list	non-leaf	remaining_list
int	----	524	TK_INT	----	primitiveDatatype	leaf	TK_INT
----	primitiveDatatype	-	----	----	dataType	non-leaf	primitiveDatatype
----	dataType	-	----	----	parameter_list	non-leaf	dataType
----	parameter_list	-	----	----	remaining_list	non-leaf	parameter_list
c4	----	524	TK_ID	----	parameter_list	leaf	TK_ID
,	----	524	TK_COMMA	----	remaining_list	leaf	TK_COMMA
----	remaining_list	-	----	----	parameter_list	non-leaf	remaining_list
int	----	524	TK_INT	----	primitiveDatatype	leaf	TK_INT
----	primitiveDatatype	-	----	----	dataType	non-leaf	primitiveDatatype
----	dataType	-	----	----	parameter_list	non-leaf	dataType
----	parameter_list	-	----	----	remaining_list	non-leaf	parameter_list
c5	----	524	TK_ID	----	parameter_list	leaf	TK_ID
----	eps	-	----	----	remaining_list	non-leaf	eps
----	remaining_list	-	----	----	parameter_list	non-leaf	remaining_list
]	----	524	TK_SQR	----	input_par	leaf	TK_SQR
output	----	525	TK_OUTPUT	----	output_par	leaf	TK_OUTPUT
----	output_par	-	----	----	function	non-leaf	output_par
parameter	----	525	TK_PARAMETER	----	output_par	leaf	TK_PARAMETER
Syntax Error in child of output_par
[	----	525	TK_SQL	----	output_par	leaf	TK_SQL
real	----	525	TK_REAL	----	primitiveDatatype	leaf	TK_REAL
----	primitiveDatatype	-	----	----	dataType	non-leaf	primitiveDatatype
----	dataType	-	----	----	parameter_list	non-leaf	dataType
----	parameter_list	-	----	----	output_par	non-leaf	parameter_list
c6	----	525	TK_ID	----	parameter_list	leaf	TK_ID
----	eps	-	----	----	remaining_list	non-leaf	eps
----	remaining_list	-	----	----	parameter_list	non-leaf	remaining_list
]	----	525	TK_SQR	----	output_par	leaf	TK_SQR
;	----	525	TK_SEM	----	function	leaf	TK_SEM
----	eps	-	----	----	typeDefinitions	non-leaf	eps
----	typeDefinitions	-	----	----	stmts	non-leaf	typeDefinitions
----	stmts	-	----	----	function	non-leaf	stmts
type	----	526	TK_TYPE	----	declaration	leaf	TK_TYPE
----	declaration	-	----	----	declarations	non-leaf	declaration
real	----	526	TK_REAL	----	primitiveDatatype	leaf	TK_REAL
----	primitiveDatatype	-	----	----	dataType	non-leaf	primitiveDatatype
----	dataType	-	----	----	declaration	non-leaf	dataType
:	----	526	TK_COLON	----	declaration	leaf	TK_COLON
d4cbcccccccccccccbbb	----	526	TK_ID	----	declaration	leaf	TK_ID
----	eps	-	----	----	global_or_not	non-leaf	eps
----	global_or_not	-	----	----	declaration	non-leaf	global_or_not
;	----	526	TK_SEM	----	declaration	leaf	TK_SEM
----	declarations	-	----	----	stmts	non-leaf	declarations
type	----	527	TK_TYPE	----	declaration	leaf	TK_TYPE
----	declaration	-	----	----	declarations	non-leaf	declaration
real	----	527	TK_REAL	----	primitiveDatatype	leaf	TK_REAL
----	primitiveDatatype	-	----	----	dataType	non-leaf	primitiveDatatype
----	dataType	-	----	----	declaration	non-leaf	dataType
:	----	527	TK_COLON	----	declaration	leaf	TK_COLON
c4bbb	----	527	TK_ID	----	declaration	leaf	TK_ID
----	eps	-	----	----	global_or_not	non-leaf	eps
----	global_or_not	-	----	----	declaration	non-leaf	global_or_not
;	----	527	TK_SEM	----	declaration	leaf	TK_SEM
