rule	lexeme	line	tokenName	value			CurrentNode		parentNodeSymbol	isLeafNode		  NodeSymbol
  -1       _sumN   4        TK_FUNID	-			----		            function	leaf	            TK_FUNID
   4		----   -		----		-	            function      otherFunctions	nonleaf	            function
  -1       input   4        TK_INPUT	-			----		           input_par	leaf	            TK_INPUT
   5		----   -		----		-	           input_par            function	nonleaf	           input_par
  -1   parameter   4    TK_PARAMETER	-			----		           input_par	leaf	        TK_PARAMETER
  -1        list   4         TK_LIST	-			----		           input_par	leaf	             TK_LIST
  -1           [   4          TK_SQL	-			----		           input_par	leaf	              TK_SQL
  -1         int   4          TK_INT	-			----		   primitiveDatatype	leaf	              TK_INT
  11		----   -		----		-	   primitiveDatatype            dataType	nonleaf	   primitiveDatatype
   9		----   -		----		-	            dataType      parameter_list	nonleaf	            dataType
   8		----   -		----		-	      parameter_list           input_par	nonleaf	      parameter_list
  -1      d5cc34   4           TK_ID	-			----		      parameter_list	leaf	               TK_ID
  -1		----   -		----		-	                 eps      remaining_list	nonleaf	                 eps
  15		----   -		----		-	      remaining_list      parameter_list	nonleaf	      remaining_list
  -1           ]   4          TK_SQR	-			----		           input_par	leaf	              TK_SQR
  -1      output   5       TK_OUTPUT	-			----		          output_par	leaf	           TK_OUTPUT
   6		----   -		----		-	          output_par            function	nonleaf	          output_par
  -1   parameter   5    TK_PARAMETER	-			----		          output_par	leaf	        TK_PARAMETER
  -1        list   5         TK_LIST	-			----		          output_par	leaf	             TK_LIST
  -1           [   5          TK_SQL	-			----		          output_par	leaf	              TK_SQL
  -1        real   5         TK_REAL	-			----		   primitiveDatatype	leaf	             TK_REAL
  12		----   -		----		-	   primitiveDatatype            dataType	nonleaf	   primitiveDatatype
   9		----   -		----		-	            dataType      parameter_list	nonleaf	            dataType
   8		----   -		----		-	      parameter_list          output_par	nonleaf	      parameter_list
  -1          d3   5           TK_ID	-			----		      parameter_list	leaf	               TK_ID
  -1		----   -		----		-	                 eps      remaining_list	nonleaf	                 eps
  15		----   -		----		-	      remaining_list      parameter_list	nonleaf	      remaining_list
  -1           ]   5          TK_SQR	-			----		          output_par	leaf	              TK_SQR
  -1           ;   5          TK_SEM	-			----		            function	leaf	              TK_SEM
  -1		----   -		----		-	                 eps     typeDefinitions	nonleaf	                 eps
  18		----   -		----		-	     typeDefinitions               stmts	nonleaf	     typeDefinitions
  16		----   -		----		-	               stmts            function	nonleaf	               stmts
  -1        type   6         TK_TYPE	-			----		         declaration	leaf	             TK_TYPE
